순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
1,9791193506202,S000212053843,아이는 무엇으로 자라는가,"17,500","15,750",10%,5%,870,버지니아 사티어,포레스트북스,20231218,가정/육아
2,9788915999008,S000213747758,임신 출산 육아 대백과(2024-2025),"19,500","17,550",10%,5%,970,삼성출판사 편집부,삼성출판사,20240715,가정/육아
3,9788934965404,S000212675550,국어 잘하는 아이가 이깁니다,"17,500","15,750",10%,5%,870,나민애,김영사,20240315,가정/육아
4,9791195795505,S000001967750,삐뽀삐뽀 119 소아과,"29,800","26,820",10%,5%,"1,490",하정훈,유니책방,20240105,가정/육아
5,9791198752406,S000213259785,나는 다정한 관찰자가 되기로 했다,"17,800","16,020",10%,5%,890,이은경,서교책방,20240530,가정/육아
6,9791168127531,S000208779616,최민준의 아들코칭 백과,"18,800","16,920",10%,5%,940,최민준,위즈덤하우스,20230830,가정/육아
7,9791197672125,S000001987855,똑게육아(리커버:K),"22,200","19,980",10%,5%,"1,110",로리(김준희),북로스트,20220224,가정/육아
8,9791168271999,S000213513428,부모의 어휘력,"19,000","17,100",10%,5%,950,김종원,카시오페아,20240617,가정/육아
9,9791186494431,S000001886110,세상에서 제일 재밌는 종이접기,"14,000","12,600",10%,5%,700,네모아저씨 이원표,슬로래빗,20180824,가정/육아
10,9791193842003,S000212413688,우리동네 어린이병원 육아대백과,"27,000","24,300",10%,5%,"1,350",박소영 외,청림라이프,20240306,가정/육아
11,9788934986652,S000000597842,어떻게 말해줘야 할까,"19,800","17,820",10%,5%,990,오은영,김영사,20201025,가정/육아
12,9791164052202,S000209651374,영혼이 강한 아이로 키워라,"17,500","15,750",10%,5%,870,조선미,북하우스,20231030,가정/육아
13,9791193407219,S000213056662,4~7세 보고 만지는 수학은 이렇게 가르칩니다,"25,000","22,500",10%,5%,"1,250",최경희,블루무스,20240430,가정/육아
14,9791165348670,S000211624680,SKY 로드맵,"18,000","16,200",10%,5%,900,이병훈,쌤앤파커스,20231228,가정/육아
15,9791130651514,S000212649167,기적의 서울대 쌍둥이 공부법,"19,000","17,100",10%,5%,950,여호원 외,다산에듀,20240312,가정/육아
16,9791164133055,S000001825877,엄마 나는 자라고 있어요,"22,000","19,800",10%,5%,"1,100",헤티 판 더 레이트 외,북폴리오,20191115,가정/육아
17,9788952736574,S000000730628,아기 발달 백과,"20,000","18,000",10%,5%,"1,000",김수연,지식너머,20190722,가정/육아
