userId,review,평점,bookId
tj******,첫 이유식 시작 한달 전에 구매하서 도움 많이 받았어요. 잘 시작해볼게요^^,10.0,S000001967752
eo****,아기가 5개월이 다 되어가서 이유식준비를 앞두고 미리 사서 읽어보았아요. 도움이 됩니다.,10.0,S000001967752
hy****,이유식 시작하려고 구매했어요. 바뀐지침에 따라 새책을 구입하는 것이 좋아요,10.0,S000001967752
hm****,막막했는데 어느정도 개념잡기에 좋았어요,10.0,S000001967752
ki*****,잘 읽겠습니다 감사,10.0,S000001967752
ti*****,이유식 시작하는데 도움되었어요,10.0,S000001967752
sa******,2022년 10월 최신개정판입니다. 최근 개정된 이유식 정보가 담겨있어 좋아요. 두껍지않고 가독성도 좋아요.,10.0,S000001967752
al********,첫 육아에 도움을 주는 삐뽀삐뽀이유식 또한 기본서라길래 믿고 구매했습니다,10.0,S000001967752
an**************,추천해요. 감사합니다.,10.0,S000001967752
mj*******,이유식공부하는데 도움이 많이되었어요,10.0,S000001967752
ja********,어우 너무 유익하네여 진짜 한줄기의 햇살같은 육아정보홍수속에서 길을 찾아주네요,10.0,S000001967752
so*****,다양한 레시피가 있어서 좋아요,10.0,S000001967752
ki******,전반적인 감을 잡는데 도움돼요,7.5,S000001967752
sy****,이유식 시작하면서 보려고 샀어오,10.0,S000001967752
wl******,이유식을 해야해서 구매했어요~! ^^ 열심히 해볼게요!!,10.0,S000001967752
ni********,출산을 앞둔 가족에게 선물한 책유익한 정보가 많아 무척 좋아한 책 입니다 :),10.0,S000001967752
dl********,하정훈 선생님은 이미 유튜브에서 유명하시죠.이유식도 친절하게 잘 설명해주셨습니다:),10.0,S000001967752
hw******,이유식 도움받으려고,10.0,S000001967752
he******,아기 이유식 시작에 많은 도움이 됩니더.,10.0,S000001967752
cs*****,이유식 시작에 도움이 되고자 구입했습니다.이유식 조립법은 물론 이유식에 대한 설명도 자세하게 되어 있습니다.,10.0,S000001967752
su******,재밌고 유익합니다. 추천합니다.,10.0,S000001967752
kk*****,이유식을 준비하는 데 많은 도움이 됐습니다.,10.0,S000001967752
ia******,아이가 좋아합니다.,10.0,S000001967752
06*****,추천받아 구매했는데많은 도움이 되었습니다조리법이 더 상세하면 좋을 것 같아요,10.0,S000001967752
gg******,이유식준비하려 구매했는데 도움되네요몰랐던사실 많이알게됐어요,10.0,S000001967752
kh*****,삐뽀삐뽀119소아과 잘 읽어서 이유식도 하정훈쌤거 샀어요 전통적이지만 매번 개정되어좋아요 이유식 잘 해볼게요!,10.0,S000001967752
fr********,이유식 시작하는데 많은 도움이 됐어요,10.0,S000001967752
kk******,베스트는 역시 이유가 있어요,10.0,S000001967752
kk******,이유식 시작 일주일전 급히주문했어요,10.0,S000001967752
eu********,가장 기본이 되는 책이라고 추천받았어요 ^^,10.0,S000001967752
wn*******,선물했는데 도움 많이 받았다고 하네요~~~!내용이 알찬 거 같아요,10.0,S000001967752
wo******,좋아요 좋습니다 도움 되네요 ~~,7.5,S000001967752
sh*****,오타가 있지만 전반적 이유식에 도움,7.5,S000001967752
po***,기초부터 알수있을것같아요,10.0,S000001967752
rb******,잘볼게요 감사합니다,10.0,S000001967752
ke*****,이유식참고하기좋아요,10.0,S000001967752
mj****,삐뽀삐뽀 이유식 책 정말 도움 많이 됐어요!,10.0,S000001967752
tt******,이유식 만들기에 도움되고 좋아요,10.0,S000001967752
jo********,전문가가 집필한 책이어서 그런지 믿음도 가고 도움이 많이 될 것 같습니다.,10.0,S000001967752
bi******,자세한 설명으로 도움이 되요^^,10.0,S000001967752
bi******,설명이 잘 되어 있어서 도움이 되용,10.0,S000001967752
jj******,이유식 만들때 참고하려고요,10.0,S000001967752
ki********,삐뽀삐뽀 119를 통해 많이 배워가고 있어요 :),10.0,S000001967752
po*******,배송을 이따우로 보내면 내가 중고를 사지 새책을 왜사?,2.5,S000001967752
go********************,너무좋아아ㅡ  잘보구있ㅇ슷니다,10.0,S000001967752
yj*****,재밌게 잘 읽었습니다.,10.0,S000001967752
ti******,삐뽀삐뽀이유식 책 이유식 기초를 잡는데 도움이  많이 되었어요,10.0,S000001967752
